X1_Horas_Actuales,X2_Frec_Semanal,X3_Horas_Fallidas,X4_Semanas_Restantes,X5_Disp_Neta_Restante,X6_Antiguedad,X7_Tipo_Carrera,X8_Beca,X9_Carrera_Id,Y_Horas_Totales_Finales
54.0,1.3333333333333333,3.0,8,50.0,2.0,0.0,0.75,0.0,169.5
7.0,0.25,11.0,8,50.0,2.0,0.0,0.5,1.0,31.0
2.5,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.5,2.0,25.5
3.0,0.25,10.0,8,50.0,2.0,0.0,0.75,3.0,4.0
54.0,1.6666666666666667,5.0,8,50.0,2.0,0.0,1.0,4.0,106.0
0.0,0.0,12.0,8,50.0,2.0,0.0,0.5,5.0,3.0
5.5,0.25,10.0,8,50.0,2.0,0.0,0.5,5.0,48.0
6.0,0.16666666666666666,10.0,8,50.0,2.0,0.0,1.0,5.0,102.0
24.5,0.16666666666666666,11.0,8,50.0,2.0,0.0,0.75,5.0,75.5
7.5,0.16666666666666666,10.0,8,50.0,0.0,0.0,0.5,6.0,42.5
6.0,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.5,7.0,15.0
1.5,0.08333333333333333,11.0,8,50.0,0.0,0.0,0.5,6.0,6.5
31.5,0.16666666666666666,10.0,8,50.0,2.0,0.0,0.5,8.0,65.5
8.0,0.08333333333333333,11.0,8,50.0,3.0,0.0,0.75,9.0,31.5
4.5,0.16666666666666666,11.0,8,50.0,0.0,0.0,0.5,6.0,52.5
5.5,0.25,9.0,8,50.0,2.0,0.0,0.5,10.0,45.0
4.5,0.16666666666666666,10.0,8,50.0,2.0,1.0,0.75,11.0,78.5
4.5,0.25,9.0,8,50.0,2.0,1.0,0.5,11.0,73.0
3.0,0.08333333333333333,11.0,8,50.0,2.0,1.0,1.0,11.0,77.0
12.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,40.5
27.5,0.5833333333333334,7.0,8,50.0,2.0,0.0,1.0,12.0,92.0
31.0,0.6666666666666666,7.0,8,50.0,1.0,0.0,0.5,1.0,89.0
38.5,1.0833333333333333,4.0,8,50.0,2.0,0.0,0.5,2.0,115.0
0.0,0.0,12.0,8,50.0,1.0,0.0,0.75,13.0,25.0
5.0,0.25,9.0,8,50.0,2.0,0.0,1.0,5.0,54.5
37.5,0.6666666666666666,6.0,8,50.0,1.0,0.0,0.9,5.0,141.5
26.5,0.75,7.0,8,50.0,2.0,0.0,0.75,5.0,57.5
3.0,0.25,9.0,8,50.0,2.0,0.0,0.5,14.0,53.5
10.0,0.25,11.0,8,50.0,2.0,0.0,0.75,15.0,22.0
8.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,51.0
12.0,0.5,9.0,8,50.0,1.0,0.0,0.5,16.0,50.5
14.5,0.4166666666666667,8.0,8,50.0,2.0,0.0,1.0,8.0,55.5
46.0,1.75,1.0,8,50.0,2.0,0.0,0.75,8.0,165.0
0.0,0.0,12.0,8,50.0,2.0,0.0,0.75,17.0,64.5
0.0,0.0,12.0,8,50.0,0.0,0.0,0.5,6.0,31.0
11.0,0.4166666666666667,7.0,8,50.0,1.0,0.0,0.5,18.0,42.0
3.0,0.16666666666666666,10.0,8,50.0,1.0,0.0,0.5,10.0,53.0
24.0,0.5833333333333334,6.0,8,50.0,1.0,0.0,1.0,10.0,69.0
14.5,0.5,7.0,8,50.0,1.0,0.0,0.75,10.0,54.0
11.0,0.5,8.0,8,50.0,1.0,0.0,0.5,10.0,61.5
4.5,0.25,10.0,8,50.0,2.0,0.0,1.0,10.0,50.5
2.0,0.08333333333333333,11.0,8,50.0,1.0,0.0,0.5,19.0,6.0
48.0,1.0833333333333333,4.0,8,50.0,2.0,1.0,0.75,11.0,71.5
1.0,0.08333333333333333,11.0,8,50.0,2.0,1.0,0.5,11.0,77.0
6.0,0.16666666666666666,10.0,8,50.0,2.0,1.0,0.5,11.0,51.5
11.0,0.5,7.0,8,50.0,2.0,1.0,0.75,11.0,55.5
1.5,0.08333333333333333,11.0,8,50.0,0.0,0.0,0.5,6.0,52.5
12.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,35.0
3.0,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.75,20.0,51.0
0.0,0.0,12.0,8,50.0,0.0,0.0,1.0,21.0,49.0
10.0,0.3333333333333333,9.0,8,50.0,1.0,1.0,1.0,11.0,37.0
6.0,0.3333333333333333,10.0,8,50.0,1.0,0.0,1.0,22.0,58.0
3.0,0.08333333333333333,11.0,8,50.0,1.0,0.0,1.0,21.0,65.0
1.5,0.08333333333333333,11.0,8,50.0,1.0,0.0,1.0,23.0,62.0
0.0,0.0,12.0,8,50.0,1.0,1.0,0.75,11.0,20.0
0.0,0.0,12.0,8,50.0,1.0,1.0,0.75,11.0,49.5
8.5,0.25,9.0,8,50.0,0.0,0.0,0.75,23.0,64.5
0.0,0.0,12.0,8,50.0,1.0,0.0,0.75,24.0,39.0
7.0,0.16666666666666666,11.0,8,50.0,1.0,0.0,0.5,24.0,57.5
7.5,0.25,10.0,8,50.0,0.0,0.0,0.5,25.0,23.0
7.5,0.25,11.0,8,50.0,0.0,0.0,0.5,25.0,94.0
0.0,0.0,12.0,8,50.0,1.0,0.0,0.5,26.0,57.5
10.0,0.3333333333333333,9.0,8,50.0,1.0,1.0,0.5,11.0,62.5
0.0,0.0,12.0,8,50.0,0.0,0.0,0.5,27.0,65.5
3.5,0.16666666666666666,11.0,8,50.0,0.0,0.0,0.5,27.0,63.5
6.147858680050295,0.21488821491260532,10.721673794937018,8,50.0,0.0,0.0,0.5,25.0,88.8384908741109
11.325359937195742,0.1693186515463198,11.049111107077964,8,50.0,0.0,0.0,0.5,27.0,64.47667940393718
8.283204984086563,0.3913270028107595,8.094392559692592,8,50.0,2.0,1.0,0.75,11.0,56.754682982696664
6.065602267563814,0.13074106035951047,11.135880986012452,8,50.0,0.0,0.0,0.5,6.0,45.09993396165527
24.930641757784993,0.42786146852446244,9.153099323881221,8,50.0,2.0,0.0,0.75,5.0,64.92718429719696
5.467083301202524,0.19642882372326279,10.565638675440157,8,50.0,1.0,0.0,0.5,24.0,55.49299845184753
0.0,0.0,12.380644035874884,8,50.0,2.0,0.0,0.5,5.0,30.641882043310126
6.586062501649325,0.18356232859218427,10.153024800903847,8,50.0,2.0,1.0,1.0,11.0,70.27790033343851
3.6774734779710996,0.2055281609272854,10.1266101014034,8,50.0,2.0,0.0,1.0,10.0,53.51562862328891
6.415039158926696,0.19453888377647924,10.406056647087256,8,50.0,1.0,0.0,0.5,24.0,56.53633671121166
8.806717296154693,0.3047255136267124,9.074468303991374,8,50.0,1.0,1.0,0.5,11.0,58.76553905995332
9.269441819914812,0.3904606198179043,7.718211382236494,8,50.0,2.0,1.0,0.75,11.0,54.03073726911949
20.2448703335965,0.5638572607729282,7.207120749896036,8,50.0,2.0,0.0,1.0,12.0,78.5967673823706
12.976365061138736,0.3815867403371798,8.306314719555829,8,50.0,2.0,0.0,1.0,8.0,49.69176447650591
4.5448299533296765,0.17623746846376231,11.151102993919382,8,50.0,0.0,0.0,0.5,25.0,71.2763841947896
0.0,0.0,12.157047757524975,8,50.0,1.0,1.0,0.75,11.0,49.22496060727588
0.0,0.0,11.78234316140598,8,50.0,1.0,1.0,0.75,11.0,29.35594209694608
18.0319691911292,0.5954514679520221,8.532849554063207,8,50.0,1.0,0.0,0.5,24.0,86.98393275846661
5.598966171116033,0.21189975143758671,10.180579674320796,8,50.0,1.0,0.0,0.5,19.0,20.839212676657557
4.2105830325783895,0.18029079692965239,9.624334504816758,8,50.0,2.0,0.0,0.5,10.0,29.907109523610032
7.0883133003161305,0.3519287866714216,8.860740295236573,8,50.0,2.0,0.0,1.0,10.0,50.492698668165254
13.402070733370001,0.3787861086724997,8.14618039394237,8,50.0,2.0,0.0,0.5,14.0,83.84391425821235
18.184271891938625,0.4073733854020514,8.650043097659832,8,50.0,2.0,0.0,1.0,12.0,84.91295026468053
22.246811433520268,0.612807451821845,7.070397549551458,8,50.0,1.0,0.0,0.5,10.0,99.21599337424936
18.62087186996904,0.4492669882790616,7.129011485270649,8,50.0,1.0,0.0,1.0,10.0,78.78977651836867
1.8408992237910058,0.04408162581584232,11.945179721099823,8,50.0,2.0,0.0,0.75,17.0,63.298474177461536
24.121880036784848,0.5245521024435761,7.6532639000919485,8,50.0,2.0,0.0,1.0,12.0,80.91322989510142
9.640020331852421,0.20073629712747723,10.199253363889428,8,50.0,0.0,0.0,0.5,6.0,38.57323220718986
11.317410204339412,0.4997320565336434,8.452247110231857,8,50.0,1.0,0.0,0.5,10.0,57.154859992164624
4.594547969996065,0.14482829794596971,10.386644606716779,8,50.0,0.0,0.0,0.5,6.0,39.07267965177273
